experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,solver,score,score type
17.04,multiclass,Logistic Regression (sklearn),"(314, 400)",100,1,1,l2,auto,none,lbfgs,0.232258065,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(314, 800)",100,1,2,l2,auto,none,lbfgs,0.277419355,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(314, 4927)",100,1,4,l2,auto,none,lbfgs,0.24516129,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(314, 6749)",100,1,6,l2,auto,none,lbfgs,0.277419355,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(314, 5550)",100,1,8,l2,auto,none,lbfgs,0.264516129,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(314, 4661)",100,1,10,l2,auto,none,lbfgs,0.238709677,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(314, 3736)",100,1,12,l2,auto,none,lbfgs,0.303225806,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(3073, 400)",100,10,1,l2,auto,none,lbfgs,0.302970297,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(3073, 800)",100,10,2,l2,auto,none,lbfgs,0.314851485,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(3073, 6398)",100,10,4,l2,auto,none,lbfgs,0.384158416,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(3073, 37045)",100,10,6,l2,auto,none,lbfgs,0.341254125,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(3073, 47962)",100,10,8,l2,auto,none,lbfgs,0.316171617,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(3073, 42862)",100,10,10,l2,auto,none,lbfgs,0.317491749,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(3073, 34513)",100,10,12,l2,auto,none,lbfgs,0.324752475,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(30676, 400)",100,100,1,l2,auto,none,lbfgs,0.40641959,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(30676, 800)",100,100,2,l2,auto,none,lbfgs,0.443216413,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(30676, 6400)",100,100,4,l2,auto,none,lbfgs,0.668166777,species_recall
